id,team,player,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-
202012230BOS,MIL,Jrue Holiday,11:07,4,7,.571,0,1,.000,0,0,,2,2,4,1,0,1,2,1,8,-7
202012230BOS,MIL,Khris Middleton,9:08,4,6,.667,1,1,1.000,1,1,1.000,2,0,2,0,0,0,1,0,10,-6
202012230BOS,MIL,Giannis Antetokounmpo,8:28,1,6,.167,1,2,.500,3,4,.750,0,3,3,0,0,1,2,2,6,-8
202012230BOS,MIL,Brook Lopez,5:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
202012230BOS,MIL,Donte DiVincenzo,5:54,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-4
202012230BOS,MIL,Pat Connaughton,6:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-13
202012230BOS,MIL,Bobby Portis,6:21,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-12
202012230BOS,MIL,Bryn Forbes,2:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
202012230BOS,MIL,D.J. Wilson,3:32,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-4
202012230BOS,BOS,Marcus Smart,10:36,0,1,.000,0,0,,1,2,.500,0,1,1,2,0,2,0,1,1,+6
202012230BOS,BOS,Jaylen Brown,11:07,3,4,.750,1,1,1.000,3,3,1.000,0,1,1,1,1,0,0,1,10,+7
202012230BOS,BOS,Jayson Tatum,8:51,5,9,.556,2,5,.400,0,0,,0,1,1,1,2,1,1,1,12,+8
202012230BOS,BOS,Daniel Theis,9:08,2,3,.667,0,1,.000,0,0,,0,2,2,2,0,0,0,0,4,+6
202012230BOS,BOS,Tristan Thompson,5:39,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,1,4,0
202012230BOS,BOS,Jeff Teague,4:33,2,3,.667,2,2,1.000,0,0,,0,0,0,1,0,0,0,1,6,+10
202012230BOS,BOS,Semi Ojeleye,6:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+12
202012230BOS,BOS,Payton Pritchard,0:53,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+5
202012230BOS,BOS,Robert Williams,2:52,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+6
